"dimension_coordinate.primary","dimension_coordinate.PC1","dimension_coordinate.PC2","dimension_coordinate.PC3","dimension_axis"
"DHMR001",-0.120986978747809,0.106915808861469,-0.02119872954545,86.34
"DHMR002",-0.230502026247836,-0.0341032914120999,0.27626634679816,9.24
"DHMR003",-0.227204942616668,0.206575916944762,-0.311697889836307,4.42
"DHMR004",-0.225929886539458,0.206114641553443,-0.0728364545173855,86.34
"DHMR005",-0.227354759206179,-0.239246221945721,-0.145120704276482,9.24
"DHMR006",-0.117264201720867,0.120496752720076,-0.00423098730136289,4.42
"DHMR007",-0.213745615507321,0.22008445902947,0.170059138141801,86.34
"DHMR008",-0.220220461801969,0.212631853367672,-0.263301871771023,9.24
"DHMR009",-0.229365909486286,0.00434237357809278,0.338658844639421,4.42
"DHMR010",-0.229682540128333,-0.229063783577278,0.425837080183635,86.34
"DHMR011",-0.228472857492962,-0.461978469538335,0.164376084493922,9.24
"DHMR012",-0.224910530232034,-0.220402228586555,-0.0333075033890328,4.42
"DHMR013",-0.233002313860051,-0.00262399243540301,0.159580948311958,86.34
"DHMR014",-0.215938186907859,0.0113859108147072,0.136714145014055,9.24
"DHMR015",-0.224005829177237,-0.248937756760794,-0.367524440012111,4.42
"DHMR016",-0.113761137789877,-0.35420196166305,-0.186200449009965,86.34
"DHMR017",-0.224905990068583,0.174624894997593,0.0766551051270448,9.24
"DHMR018",-0.117188234116541,0.110221916230301,0.044264360854053,4.42
"DHMR019",-0.117344770285463,0.0719847993538498,-0.134592124581658,86.34
"DHMR020",-0.229170930968172,0.139756666888076,-0.114405497950489,9.24
"DHMR021",-0.119245816035858,0.116357977927413,0.114484983573202,4.42
"DHMR022",-0.230355293570258,0.22505476321482,-0.00549661126218418,86.34
"DHMR023",-0.220839857384329,-0.250064969266645,-0.332067273615858,9.24
"DHMR024",-0.226039846660074,0.201761654434221,-0.0306368719673646,4.42
